iter	Passed	Remaining
715	5385	2136
716	5393	2128
717	5400	2121
718	5409	2114
719	5417	2106
720	5424	2099
721	5430	2091
722	5438	2083
723	5445	2075
724	5451	2067
725	5458	2060
726	5465	2052
727	5472	2044
728	5480	2037
729	5487	2029
730	5494	2021
731	5500	2013
732	5506	2005
733	5514	1998
734	5521	1990
735	5528	1983
736	5535	1975
737	5545	1968
738	5554	1961
739	5564	1954
740	5573	1948
741	5582	1941
742	5591	1934
743	5600	1927
744	5609	1919
745	5618	1912
746	5626	1905
747	5634	1898
748	5641	1890
749	5650	1883
750	5658	1876
751	5667	1868
752	5675	1861
753	5682	1853
754	5690	1846
755	5697	1838
756	5704	1831
757	5711	1823
758	5719	1815
759	5728	1808
760	5735	1801
761	5743	1793
762	5751	1786
763	5759	1778
764	5767	1771
765	5776	1764
766	5785	1757
767	5794	1750
768	5803	1743
769	5814	1736
770	5822	1729
771	5831	1722
772	5840	1715
773	5849	1707
774	5856	1700
775	5865	1693
776	5873	1685
777	5880	1678
778	5888	1670
779	5895	1662
780	5903	1655
781	5910	1647
782	5917	1640
783	5925	1632
784	5931	1624
785	5940	1617
786	5948	1609
787	5956	1602
788	5963	1594
789	5971	1587
790	5978	1579
791	5985	1572
792	5993	1564
793	6000	1556
794	6007	1549
795	6014	1541
796	6021	1533
797	6028	1526
798	6035	1518
799	6042	1510
800	6048	1502
801	6056	1495
802	6063	1487
803	6071	1480
804	6079	1472
805	6087	1465
806	6096	1457
807	6104	1450
808	6112	1443
809	6119	1435
810	6131	1428
811	6140	1421
812	6147	1414
813	6155	1406
814	6162	1398
815	6169	1391
816	6175	1383
817	6182	1375
818	6189	1367
819	6197	1360
820	6203	1352
821	6210	1344
822	6218	1337
823	6225	1329
824	6232	1321
825	6238	1314
826	6245	1306
827	6252	1298
828	6259	1291
829	6266	1283
830	6273	1275
831	6280	1268
832	6287	1260
833	6297	1253
834	6307	1246
835	6316	1239
836	6325	1231
837	6335	1224
838	6344	1217
839	6353	1210
840	6362	1202
841	6371	1195
842	6379	1188
843	6388	1180
844	6397	1173
845	6406	1166
846	6414	1158
847	6422	1151
848	6428	1143
849	6436	1135
850	6443	1128
851	6450	1120
852	6457	1112
853	6464	1105
854	6470	1097
855	6477	1089
856	6485	1082
857	6492	1074
858	6499	1066
859	6507	1059
860	6514	1051
861	6521	1043
862	6527	1036
863	6535	1028
864	6543	1021
865	6550	1013
866	6557	1005
867	6564	998
868	6571	990
869	6579	983
870	6585	975
871	6592	967
872	6599	960
873	6606	952
874	6613	944
875	6620	937
876	6627	929
877	6633	921
878	6641	914
879	6649	906
880	6656	899
881	6666	891
882	6675	884
883	6684	877
884	6694	869
885	6703	862
886	6712	855
887	6721	847
888	6730	840
889	6738	832
890	6747	825
891	6756	818
892	6767	810
893	6775	803
894	6783	795
895	6792	788
896	6802	781
897	6811	773
898	6819	766
899	6827	758
900	6835	751
901	6844	743
902	6852	736
903	6858	728
904	6868	720
905	6876	713
906	6883	705
907	6890	698
908	6897	690
909	6904	682
910	6911	675
911	6918	667
912	6925	659
913	6933	652
914	6940	644
915	6946	637
916	6953	629
917	6960	621
918	6967	614
919	6975	606
920	6983	599
921	6990	591
922	6998	583
923	7005	576
924	7012	568
925	7019	560
926	7026	553
927	7033	545
928	7040	538
929	7046	530
930	7053	522
931	7060	515
932	7067	507
933	7074	499
934	7081	492
935	7088	484
936	7096	477
937	7102	469
938	7109	461
939	7115	454
940	7122	446
941	7129	438
942	7137	431
943	7145	423
944	7154	416
945	7161	408
946	7167	401
947	7174	393
948	7180	385
949	7186	378
950	7193	370
951	7199	363
952	7206	355
953	7213	347
954	7219	340
955	7225	332
956	7232	324
957	7240	317
958	7248	309
959	7257	302
960	7265	294
961	7273	287
962	7282	279
963	7291	272
964	7299	264
965	7308	257
966	7316	249
967	7324	242
968	7333	234
969	7342	227
970	7350	219
971	7358	211
972	7367	204
973	7375	196
974	7384	189
975	7391	181
976	7399	174
977	7406	166
978	7413	159
979	7419	151
980	7426	143
981	7433	136
982	7439	128
983	7446	121
984	7453	113
985	7460	105
986	7466	98
987	7473	90
988	7479	83
989	7486	75
990	7493	68
991	7500	60
992	7506	52
993	7514	45
994	7520	37
995	7527	30
996	7535	22
997	7543	15
998	7550	7
999	7557	0
